Record;Date;UTC Time;LIEB_Tc;LIEB_Tf;LIEB_Q;LIEB_P;JEN1_Tc;JEN1_Tf;JEN1_Q;JEN1_P;JEN2_Tc;JEN2_Tf;JEN2_Q;JEN2_P;HX1_P;HX2_P;Sech_P;Dig_P
1;02-12-25;11:11:57;59;62;9;30;78;63;57;938;79;65;59;954;358;348;1082;0
2;02-12-25;11:15:00;59;62;9;31;78;63;57;956;80;65;60;1039;342;364;1140;0
3;02-12-25;11:30:00;59;62;9;32;77;63;57;867;81;65;60;1101;336;351;1198;0
4;02-12-25;11:45:00;59;62;9;33;76;63;57;821;81;65;62;1142;355;372;1198;0
5;02-12-25;12:00:00;59;62;9;30;77;63;57;877;81;64;60;1130;363;370;1252;0
6;02-12-25;12:15:00;59;61;9;26;72;62;57;639;76;65;58;763;299;291;778;0
7;02-12-25;12:30:00;78;62;9;155;77;64;57;871;80;64;61;1062;409;403;1209;0
8;02-12-25;12:45:00;79;62;9;171;76;64;57;926;80;65;60;1074;430;431;1210;0
9;02-12-25;13:00:00;79;63;9;164;78;64;57;919;80;65;60;1053;423;431;1199;0
10;02-12-25;13:15:00;79;63;9;162;78;64;57;933;80;65;61;1088;410;424;1207;0
11;02-12-25;13:30:00;79;63;9;158;78;64;57;898;81;65;60;1087;408;429;1208;0
12;02-12-25;13:45:00;79;63;9;163;78;64;57;900;82;65;62;1196;403;401;1317;0
13;02-12-25;14:00:00;79;63;9;165;78;64;57;931;82;65;60;1168;407;429;1303;0
14;02-12-25;14:15:00;79;63;9;158;78;64;57;908;79;65;61;979;406;431;1078;0
15;02-12-25;14:30:00;79;63;9;159;77;64;57;821;79;65;62;986;416;414;1109;0
16;02-12-25;14:45:00;79;63;9;161;77;65;58;800;79;65;60;950;425;379;1099;0
17;02-12-25;15:00:00;80;61;9;181;63;62;57;36;63;63;60;21;165;140;118;0
18;02-12-25;15:15:00;78;64;9;149;77;65;56;772;78;65;60;903;365;368;1037;0
19;02-12-25;15:30:00;79;64;9;158;76;65;58;708;80;65;61;1017;355;358;1130;0
20;02-12-25;15:45:00;80;62;9;179;63;63;57;27;64;64;62;12;152;147;76;0
21;02-12-25;16:00:00;73;60;9;134;73;62;57;595;77;66;60;777;129;142;423;0
22;02-12-25;16:15:00;80;64;9;156;76;65;57;697;80;65;59;985;329;326;1067;0
23;02-12-25;16:30:00;80;65;9;155;76;66;57;666;80;65;59;991;347;352;1094;0
24;02-12-25;16:45:00;80;64;9;162;75;65;57;654;80;65;61;1026;339;353;1147;0
25;02-12-25;17:00:00;79;64;9;152;75;65;56;652;80;65;59;1003;358;357;1170;0
26;02-12-25;17:15:00;79;63;9;166;75;64;57;725;78;65;58;856;365;349;968;0
27;02-12-25;17:30:00;63;61;9;21;62;62;57;42;63;63;60;15;186;146;74;0
28;02-12-25;17:45:00;55;56;9;19;57;57;57;1;53;53;60;12;21;22;100;0
29;02-12-25;18:00:00;55;57;9;26;69;59;57;662;73;62;59;709;112;129;376;0
30;02-12-25;18:15:00;79;64;9;156;77;65;57;796;78;64;60;947;367;368;1075;0
31;02-12-25;18:30:00;80;64;9;158;78;65;57;822;78;64;58;883;341;374;1057;0
32;02-12-25;18:45:00;80;63;9;171;77;64;58;805;78;64;60;905;392;391;1035;0
33;02-12-25;19:00:00;80;63;9;168;75;64;58;866;78;64;59;892;404;404;1026;0
34;02-12-25;19:15:00;80;63;9;168;76;64;57;765;78;64;60;889;367;364;1002;0
35;02-12-25;19:30:00;80;63;9;173;78;64;57;906;65;65;59;7;410;403;189;0
36;02-12-25;19:45:00;79;63;9;159;77;64;57;861;64;64;60;4;427;436;198;0
37;02-12-25;20:00:00;79;62;9;171;77;64;58;856;64;64;59;3;423;420;187;0
38;02-12-25;20:15:00;79;64;9;146;77;66;57;756;64;64;59;4;383;374;191;0
39;02-12-25;20:30:00;79;64;9;145;77;65;57;784;65;65;59;6;380;384;194;0
40;02-12-25;20:45:00;79;63;9;163;77;65;57;795;64;64;58;3;398;403;196;0
41;02-12-25;21:00:00;79;64;9;149;77;65;57;751;64;64;59;4;364;381;189;0
42;02-12-25;21:15:00;80;65;9;150;79;66;57;802;64;64;58;5;348;351;211;0
43;02-12-25;21:30:00;80;65;8;141;79;66;57;840;65;65;58;6;336;340;216;0
44;02-12-25;21:45:00;80;65;8;136;79;66;57;833;65;65;59;3;321;330;228;0
45;02-12-25;22:00:00;81;65;8;144;79;67;57;831;65;65;59;4;329;332;212;0
46;02-12-25;22:15:00;80;65;8;142;78;67;58;729;65;65;60;6;346;340;210;0
47;02-12-25;22:30:00;80;65;8;125;78;67;57;731;66;66;61;2;327;329;197;0
48;02-12-25;22:45:00;79;65;8;124;78;67;56;715;66;66;59;3;346;337;201;0
49;02-12-25;23:00:00;79;65;7;114;78;67;56;703;66;66;60;4;311;311;207;0
50;02-12-25;23:15:00;80;66;7;111;78;67;57;709;66;66;60;4;309;304;202;0
51;02-12-25;23:30:00;79;66;7;114;78;67;57;701;66;66;59;4;326;304;204;0
52;02-12-25;23:45:00;80;66;7;114;79;68;57;737;66;66;59;1;320;316;211;0
53;02/13/2025;00:00:00;80;66;7;119;78;67;56;700;66;66;60;4;307;313;193;0
54;02/13/2025;00:15:00;80;66;7;114;79;68;57;716;66;66;59;4;330;310;220;0
55;02/13/2025;00:30:00;80;66;7;117;78;67;56;712;66;66;60;6;320;304;212;0
56;02/13/2025;00:45:00;80;66;7;121;79;67;56;787;66;66;60;1;343;303;219;0
57;02/13/2025;01:00:00;80;65;8;132;79;67;57;719;66;66;61;5;332;333;204;0
58;02/13/2025;01:15:00;80;65;8;126;80;67;57;856;65;65;60;5;327;327;227;0
59;02/13/2025;01:30:00;80;65;7;125;80;67;57;842;66;65;61;5;322;317;222;0
60;02/13/2025;01:45:00;80;65;7;113;79;67;57;747;65;65;59;3;311;312;224;0
61;02/13/2025;02:00:00;80;66;7;116;78;67;56;714;66;66;59;4;303;301;215;0
62;02/13/2025;02:15:00;80;66;7;119;78;67;56;717;66;66;59;5;316;310;224;0
63;02/13/2025;02:30:00;80;65;7;116;80;67;57;810;66;66;60;1;304;317;225;0
64;02/13/2025;02:45:00;81;65;8;141;78;67;57;751;65;65;60;4;330;325;214;0
65;02/13/2025;03:00:00;81;65;8;130;78;67;57;717;65;65;58;5;320;349;219;0
66;02/13/2025;03:15:00;81;65;7;128;80;67;57;823;65;65;58;4;332;302;253;0
67;02/13/2025;03:30:00;81;65;8;139;78;67;57;732;65;65;60;3;323;314;220;0
68;02/13/2025;03:45:00;81;65;8;138;78;67;57;764;65;65;59;1;314;322;221;0
69;02/13/2025;04:00:00;81;65;8;149;78;66;57;746;65;65;59;6;348;337;221;0
70;02/13/2025;04:15:00;81;65;8;148;79;66;57;812;65;65;59;3;345;360;212;0
71;02/13/2025;04:30:00;81;65;8;155;77;66;57;741;65;64;60;5;363;361;216;0
72;02/13/2025;04:45:00;81;65;8;152;78;66;57;781;64;64;60;6;351;371;215;0
73;02/13/2025;05:00:00;80;64;8;149;78;66;57;795;64;64;60;4;314;328;225;0
74;02/13/2025;05:15:00;80;64;9;158;77;66;57;757;63;63;60;2;379;374;221;0
75;02/13/2025;05:30:00;81;64;9;167;77;65;57;765;63;63;59;5;383;347;221;0
76;02/13/2025;05:45:00;80;63;9;161;76;64;58;785;63;63;61;5;359;366;211;0
77;02/13/2025;06:00:00;80;63;9;178;76;64;58;754;62;62;60;3;327;328;206;0
78;02/13/2025;06:15:00;82;63;9;197;78;64;57;902;63;63;60;5;384;394;207;0
79;02/13/2025;06:30:00;82;64;9;185;79;65;57;894;63;63;60;3;378;378;224;0
80;02/13/2025;06:45:00;81;64;9;176;76;65;57;743;63;63;59;5;374;375;203;0
81;02/13/2025;07:00:00;81;64;9;179;76;65;57;744;63;62;59;5;360;347;216;0
82;02/13/2025;07:15:00;81;63;9;178;75;64;57;716;63;63;60;5;379;395;206;0
83;02/13/2025;07:30:00;82;63;9;187;78;64;57;899;63;63;60;2;379;399;219;0
84;02/13/2025;07:45:00;82;63;9;197;77;65;57;820;63;63;61;0;427;397;203;0
85;02/13/2025;08:00:00;82;63;9;189;77;65;57;778;64;64;59;2;411;411;205;0
86;02/13/2025;08:15:00;82;63;9;190;78;64;57;856;64;64;59;3;388;391;200;0
87;02/13/2025;08:30:00;82;63;9;192;76;65;57;767;64;64;59;4;422;395;187;0
88;02/13/2025;08:45:00;60;62;9;21;74;63;57;761;61;61;59;8;296;292;197;0
89;02/13/2025;09:00:00;60;62;9;25;77;64;57;941;77;63;60;939;347;360;1069;0
90;02/13/2025;09:15:00;60;62;9;24;78;63;57;917;78;64;60;975;314;323;1029;0
91;02/13/2025;09:30:00;60;62;9;23;76;63;57;801;79;64;60;1018;328;345;1084;0
92;02/13/2025;09:45:00;60;62;9;24;78;64;57;934;79;64;62;1072;375;333;1114;0
93;02/13/2025;10:00:00;60;62;9;25;76;63;57;852;79;64;62;1046;323;329;1099;0
94;02/13/2025;10:15:00;60;62;9;26;77;63;57;911;77;64;60;906;330;330;991;0
95;02/13/2025;10:30:00;59;62;9;25;77;63;57;892;77;64;60;904;361;363;959;0
96;02/13/2025;10:45:00;59;62;9;26;76;63;57;811;78;64;60;957;367;373;1066;0
97;02/13/2025;11:00:00;59;61;9;27;77;63;57;930;78;64;60;955;358;356;1056;0
98;02/13/2025;11:15:00;59;62;9;29;78;63;56;960;78;64;59;961;364;379;1077;0
99;02/13/2025;11:30:00;59;61;9;28;77;63;57;929;78;64;61;971;364;366;1056;0
100;02/13/2025;11:45:00;59;61;9;26;77;62;57;957;78;64;60;942;356;343;1006;0
101;02/13/2025;12:00:00;59;61;9;26;75;63;57;817;77;63;58;912;373;356;994;0
102;02/13/2025;12:15:00;58;61;8;24;76;62;58;923;78;63;60;1016;360;360;1131;0
103;02/13/2025;12:30:00;58;61;9;26;76;62;57;905;78;63;59;1010;357;374;1124;0
104;02/13/2025;12:45:00;58;61;8;27;78;62;57;977;80;63;59;1127;367;379;1301;0
105;02/13/2025;13:00:00;58;61;8;26;77;62;57;953;80;63;59;1100;367;361;1190;0
106;02/13/2025;13:15:00;58;61;9;27;77;62;57;937;80;63;58;1095;360;345;1191;0
107;02/13/2025;13:30:00;58;61;9;27;75;62;56;816;80;63;60;1118;386;378;1228;0
108;02/13/2025;13:45:00;58;61;9;27;77;62;57;960;80;64;60;1130;365;371;1211;0
109;02/13/2025;14:00:00;58;61;8;25;77;62;58;997;80;64;61;1135;377;387;1209;0
110;02/13/2025;14:15:00;59;61;8;23;77;62;57;941;80;64;60;1126;360;351;1212;0
111;02/13/2025;14:30:00;58;61;9;29;76;63;57;852;80;64;58;1065;371;366;1171;0
112;02/13/2025;14:45:00;59;61;9;27;77;63;58;953;80;64;59;1055;434;359;1144;0
113;02/13/2025;15:00:00;58;61;8;29;77;63;57;948;80;64;59;1096;357;356;1189;0
114;02/13/2025;15:15:00;59;62;9;31;78;63;57;949;80;64;61;1118;368;354;1246;0
115;02/13/2025;15:30:00;58;61;9;26;76;62;58;915;79;64;58;996;344;354;1148;0
116;02/13/2025;15:45:00;59;61;9;27;76;63;58;882;79;64;60;1015;342;349;1102;0
117;02/13/2025;16:00:00;58;61;9;28;77;63;57;908;79;64;61;1107;350;349;1192;0
