Record,Date,UTC Time,Tc_RU,Tf_RU,Hz1_RU,Hz2_RU,Pc_RU,Pf_RU,Tc_HX1_RU,Tc_HX2_RU,Tc_HX1_CIN,Tf_HX1_CIN,Q_HX1_CIN,Hz_HX1_CIN,Tc_HX2_CIN,Tf_HX2_CIN,Q_HX2_CIN,Hz_HX2_CIN
      4501,08/24/2025,17:15:00,         72,         61,         49,         49,       4781,       2480,         72,        585,         71,         70,         25,         29,         73,         70,         25,         29
      4502,08/24/2025,17:30:00,         71,         61,         49,         49,       4798,       2494,         72,        589,         71,         70,         25,         29,         72,         69,         25,         29
      4503,08/24/2025,17:45:00,         72,         62,         48,         49,       4745,       2494,         72,        585,         70,         69,         26,         30,         72,         70,         26,         30
      4504,08/24/2025,18:00:00,         71,         62,         49,         48,       4755,       2484,         71,        592,         71,         69,         25,         30,         72,         71,         26,         30
      4505,08/24/2025,18:15:00,         71,         61,         49,         49,       4771,       2499,         71,        594,         71,         70,         25,         30,         72,         69,         26,         30
      4506,08/24/2025,18:30:00,         71,         61,         49,         48,       4775,       2474,         71,        588,         70,         69,         25,         31,         71,         69,         26,         31
      4507,08/24/2025,18:45:00,         70,         61,         48,         49,       4770,       2478,         71,        593,         70,         69,         27,         32,         71,         69,         26,         32
      4508,08/24/2025,19:00:00,         71,         61,         49,         49,       4743,       2479,         71,        593,         70,         69,         26,         31,         71,         70,         26,         31
      4509,08/24/2025,19:15:00,         72,         61,         49,         49,       4739,       2485,         71,        589,         70,         70,         26,         30,         72,         69,         26,         31
      4510,08/24/2025,19:30:00,         71,         61,         49,         49,       4778,       2475,         70,        593,         69,         69,         26,         32,         71,         69,         27,         32
      4511,08/24/2025,19:45:00,         70,         61,         49,         49,       4779,       2466,         70,        595,         69,         69,         26,         33,         71,         69,         27,         34
      4512,08/24/2025,20:00:00,         70,         61,         49,         50,       4776,       2462,         70,        589,         69,         69,         26,         32,         70,         69,         26,         32
      4513,08/24/2025,20:15:00,         71,         61,         49,         49,       4720,       2460,         71,        592,         70,         70,         25,         30,         71,         69,         26,         30
      4514,08/24/2025,20:30:00,         71,         61,         49,         49,       4753,       2457,         71,        593,         69,         70,         27,         32,         71,         69,         26,         32
      4515,08/24/2025,20:45:00,         70,         61,         49,         49,       4757,       2460,         70,        596,         69,         69,         26,         34,         71,         69,         26,         34
      4516,08/24/2025,21:00:00,         71,         61,         50,         48,       4789,       2442,         71,        593,         69,         69,         26,         32,         71,         69,         26,         33
      4517,08/24/2025,21:15:00,         71,         61,         49,         50,       4781,       2436,         70,        591,         69,         69,         26,         33,         70,         69,         27,         33
      4518,08/24/2025,21:30:00,         70,         60,         50,         50,       4794,       2439,         70,        588,         69,         68,         27,         35,         70,         68,         28,         35
      4519,08/24/2025,21:45:00,         70,         60,         50,         50,       4835,       2424,         70,        593,         70,         69,         26,         33,         71,         69,         27,         33
      4520,08/24/2025,22:00:00,         70,         61,         48,         49,       4776,       2421,         70,        583,         70,         69,         26,         32,         71,         69,         26,         32
      4521,08/24/2025,22:15:00,         71,         61,         48,         49,       4700,       2445,         70,        596,         70,         69,         25,         32,         71,         70,         26,         33
      4522,08/24/2025,22:30:00,         70,         61,         49,         50,       4729,       2431,         70,        596,         69,         69,         26,         33,         71,         69,         26,         33
      4523,08/24/2025,22:45:00,         70,         61,         49,         49,       4741,       2435,         70,        593,         69,         69,         27,         33,         70,         69,         27,         33
      4524,08/24/2025,23:00:00,         70,         61,         49,         50,       4734,       2426,         70,        578,         69,         69,         26,         33,         70,         69,         27,         33
      4525,08/24/2025,23:15:00,         70,         61,         50,         50,       4764,       2427,         70,        596,         69,         69,         27,         34,         70,         68,         27,         34
      4526,08/24/2025,23:30:00,         70,         61,         50,         50,       4775,       2424,         70,        593,         69,         69,         27,         33,         70,         69,         27,         34
      4527,08/24/2025,23:45:00,         70,         61,         49,         49,       4729,       2412,         70,        594,         69,         69,         27,         34,         71,         68,         27,         34
      4528,08/25/2025,00:00:00,         71,         61,         50,         50,       4754,       2401,         70,        595,         69,         69,         26,         33,         71,         69,         26,         33
      4529,08/25/2025,00:15:00,         70,         61,         49,         50,       4734,       2411,         70,        594,         68,         69,         27,         34,         71,         68,         27,         34
      4530,08/25/2025,00:30:00,         70,         61,         50,         50,       4747,       2398,         69,        593,         69,         69,         27,         34,         70,         68,         27,         34
      4531,08/25/2025,00:45:00,         70,         60,         50,         50,       4752,       2397,         69,        593,         68,         69,         27,         36,         70,         68,         28,         36
      4532,08/25/2025,01:00:00,         69,         60,         50,         49,       4797,       2401,         68,        594,         68,         68,         27,         37,         70,         68,         28,         37
      4533,08/25/2025,01:15:00,         70,         60,         50,         51,       4781,       2404,         70,        580,         69,         69,         26,         34,         70,         69,         27,         34
      4534,08/25/2025,01:30:00,         70,         60,         50,         50,       4748,       2389,         70,        596,         69,         69,         26,         35,         70,         69,         27,         35
      4535,08/25/2025,01:45:00,         69,         60,         50,         50,       4847,       2382,         70,        586,         68,         69,         27,         35,         69,         68,         27,         35
      4536,08/25/2025,02:00:00,         70,         60,         51,         51,       4790,       2390,         69,        587,         68,         68,         27,         36,         70,         68,         28,         36
      4537,08/25/2025,02:15:00,         70,         60,         50,         50,       4781,       2392,         69,        570,         68,         69,         27,         34,         70,         68,         27,         35
      4538,08/25/2025,02:30:00,         70,         60,         50,         50,       4785,       2390,         70,        592,         69,         68,         27,         35,         70,         69,         27,         35
      4539,08/25/2025,02:45:00,         70,         60,         50,         50,       4764,       2375,         70,        596,         68,         68,         26,         36,         70,         68,         27,         36
      4540,08/25/2025,03:00:00,         69,         60,         50,         50,       4776,       2382,         69,        595,         68,         68,         28,         36,         69,         68,         27,         36
      4541,08/25/2025,03:15:00,         69,         59,         49,         50,       4762,       2371,         69,        594,         69,         68,         27,         36,         69,         68,         28,         36
      4542,08/25/2025,03:30:00,         70,         60,         50,         50,       4760,       2366,         69,        594,         68,         69,         27,         34,         70,         68,         27,         35
      4543,08/25/2025,03:45:00,         69,         60,         50,         50,       4764,       2359,         69,        590,         69,         68,         27,         35,         70,         69,         28,         36
      4544,08/25/2025,04:00:00,         69,         59,         50,         50,       4760,       2367,         69,        570,         67,         68,         28,         38,         69,         67,         28,         38
      4545,08/25/2025,04:15:00,         68,         58,         50,         50,       4810,       2349,         68,        593,         67,         67,         29,         40,         69,         67,         30,         41
      4546,08/25/2025,04:30:00,         69,         59,         50,         51,       4748,       2344,         69,        568,         68,         68,         27,         36,         69,         68,         28,         36
      4547,08/25/2025,04:45:00,         69,         60,         50,         50,       4755,       2344,         68,        595,         68,         68,         27,         37,         70,         68,         28,         37
      4548,08/25/2025,05:00:00,         69,         59,         50,         50,       4767,       2345,         69,        587,         68,         68,         27,         36,         69,         68,         28,         37
      4549,08/25/2025,05:15:00,         65,         59,         50,         47,       4745,       2342,         65,        590,         63,         65,         31,         50,         64,         64,         32,         50
      4550,08/25/2025,05:30:00,         63,         58,         50,         50,       4728,       2317,         62,        587,         62,         64,         32,         50,         63,         63,         33,         51
      4551,08/25/2025,05:45:00,         63,         59,         50,         50,       4695,       2287,         63,        579,         61,         64,         32,         50,         63,         63,         33,         50
      4552,08/25/2025,06:00:00,         63,         59,         51,         51,       4678,       2276,         63,        580,         62,         65,         33,         50,         64,         63,         33,         51
      4553,08/25/2025,06:15:00,         63,         58,         50,         51,       4656,       2258,         63,        573,         62,         64,         32,         51,         63,         64,         33,         51
      4554,08/25/2025,06:30:00,         63,         58,         50,         50,       4777,       2381,         63,        552,         62,         64,         32,         50,         63,         64,         33,         51
      4555,08/25/2025,06:45:00,         63,         59,         50,         50,       4749,       2344,         63,        541,         62,         64,         32,         50,         63,         64,         33,         51
      4556,08/25/2025,07:00:00,         63,         58,         50,         50,       4738,       2350,         63,        560,         63,         65,         33,         50,         64,         64,         33,         51
      4557,08/25/2025,07:15:00,         63,         59,         50,         50,       4730,       2322,         63,        539,         62,         65,         32,         51,         64,         64,         32,         51
      4558,08/25/2025,07:30:00,         66,         59,         50,         50,       4720,       2314,         66,        545,         65,         67,         30,         44,         67,         66,         30,         45
      4559,08/25/2025,07:45:00,         69,         59,         50,         51,       4724,       2334,         69,        542,         68,         68,         28,         38,         69,         67,         28,         39
      4560,08/25/2025,08:00:00,         69,         59,         50,         50,       4703,       2330,         69,        542,         69,         67,         28,         39,         70,         67,         28,         39
      4561,08/25/2025,08:15:00,         68,         58,         50,         50,       4719,       2350,         68,        540,         67,         66,         30,         44,         69,         66,         30,         44
      4562,08/25/2025,08:30:00,         69,         58,         50,         50,       4742,       2346,         68,        531,         67,         67,         29,         42,         69,         67,         29,         42
      4563,08/25/2025,08:45:00,         69,         58,         50,         50,       4738,       2348,         68,        539,         68,         67,         29,         41,         69,         66,         30,         41
      4564,08/25/2025,09:00:00,         70,         58,         50,         50,       4766,       2366,         69,        539,         68,         68,         29,         40,         70,         67,         29,         40
      4565,08/25/2025,09:15:00,         70,         58,         50,         50,       4768,       2374,         69,        537,         69,         68,         28,         39,         70,         67,         29,         39
      4566,08/25/2025,09:30:00,         69,         58,         50,         50,       4788,       2384,         69,        539,         68,         67,         29,         42,         70,         66,         30,         42
      4567,08/25/2025,09:45:00,         70,         58,         50,         50,       4786,       2389,         69,        540,         69,         67,         28,         39,         70,         67,         28,         39
      4568,08/25/2025,10:00:00,         70,         57,         50,         50,       4804,       2443,         69,        541,         69,         67,         29,         44,         70,         66,         29,         44
      4569,08/25/2025,10:15:00,         69,         56,         50,         50,       4821,       2416,         69,        539,         68,         66,         30,         43,         69,         66,         30,         43
      4570,08/25/2025,10:30:00,         69,         56,         51,         51,       4855,       2417,         69,        539,         68,         66,         29,         43,         70,         66,         31,         44
      4571,08/25/2025,10:45:00,         69,         56,         50,         51,       4848,       2438,         69,        541,         68,         66,         30,         45,         69,         66,         31,         45
      4572,08/25/2025,11:00:00,         69,         56,         50,         50,       4843,       2444,         69,        538,         68,         66,         31,         45,         69,         66,         31,         45
      4573,08/25/2025,11:15:00,         69,         56,         50,         50,       4864,       2451,         69,        540,         68,         66,         31,         45,         69,         66,         30,         45
      4574,08/25/2025,11:30:00,         69,         56,         50,         51,       4860,       2455,         69,        535,         68,         67,         31,         44,         69,         66,         30,         45
      4575,08/25/2025,11:45:00,         69,         57,         49,         50,       4873,       2474,         69,        539,         68,         66,         30,         44,         69,         65,         31,         45
      4576,08/25/2025,12:00:00,         69,         56,         50,         51,       4905,       2484,         68,        549,         68,         66,         30,         45,         70,         66,         30,         45
      4577,08/25/2025,12:15:00,         69,         58,         50,         50,       4893,       2500,         70,        549,         69,         68,         29,         39,         70,         67,         29,         39
      4578,08/25/2025,12:30:00,         71,         59,         50,         50,       4901,       2488,         70,        552,         70,         68,         27,         36,         71,         68,         28,         36
      4579,08/25/2025,12:45:00,         70,         58,         50,         50,       4895,       2512,         70,        553,         70,         67,         27,         39,         71,         68,         28,         39
      4580,08/25/2025,13:00:00,         70,         58,         50,         50,       4919,       2512,         70,        554,         69,         68,         29,         39,         71,         68,         29,         39
      4581,08/25/2025,13:15:00,         70,         59,         50,         50,       4812,       2413,         71,        552,         70,         68,         28,         38,         71,         68,         28,         38
      4582,08/25/2025,13:30:00,         71,         58,         50,         51,       4806,       2412,         71,        557,         70,         68,         27,         36,         72,         67,         28,         36
      4583,08/25/2025,13:45:00,         70,         59,         50,         50,       4814,       2404,         70,        558,         69,         68,         28,         39,         70,         67,         29,         39
      4584,08/25/2025,14:00:00,         69,         59,         50,         50,       4808,       2415,         70,        556,         69,         68,         28,         40,         69,         68,         29,         41
      4585,08/25/2025,14:15:00,         64,         59,         50,         51,       4807,       2408,         64,        558,         63,         64,         33,         51,         64,         63,         33,         51
      4586,08/25/2025,14:30:00,         64,         58,         50,         50,       4789,       2390,         64,        568,         63,         64,         32,         50,         64,         63,         33,         51
      4587,08/25/2025,14:45:00,         63,         58,         50,         50,       4762,       2380,         64,        561,         62,         64,         32,         50,         64,         63,         33,         51
      4588,08/25/2025,15:00:00,         63,         58,         49,         50,       4759,       2354,         63,        559,         62,         64,         32,         50,         63,         63,         33,         51
      4589,08/25/2025,15:15:00,         63,         58,         50,         51,       4742,       2338,         63,        569,         62,         63,         33,         51,         63,         63,         33,         51
      4590,08/25/2025,15:30:00,         63,         58,         50,         50,       4724,       2332,         63,        570,         62,         64,         32,         51,         63,         63,         32,         51
      4591,08/25/2025,15:45:00,         63,         58,         50,         50,       4719,       2324,         63,        578,         62,         64,         32,         51,         63,         63,         33,         51
      4592,08/25/2025,16:00:00,         63,         59,         50,         50,       4695,       2296,         63,        578,         62,         64,         32,         51,         63,         63,         32,         51
      4593,08/25/2025,16:15:00,         63,         59,         50,         50,       4671,       2289,         63,        578,         63,         64,         32,         50,         64,         63,         32,         51
      4594,08/25/2025,16:30:00,         63,         58,         50,         50,       4670,       2279,         63,        580,         63,         64,         33,         50,         64,         63,         33,         51
      4595,08/25/2025,16:45:00,         63,         58,         50,         50,       4658,       2254,         64,        580,         64,         65,         33,         46,         67,         65,         33,         47
      4596,08/25/2025,17:00:00,         70,         59,         50,         50,       4648,       2271,         70,        583,         69,         68,         28,         37,         71,         68,         28,         37
      4597,08/25/2025,17:15:00,         70,         59,         50,         50,       4714,       2268,         70,        573,         70,         68,         27,         36,         71,         68,         28,         36
      4598,08/25/2025,17:30:00,         70,         59,         50,         50,       4671,       2281,         71,        575,         70,         68,         28,         37,         71,         68,         29,         37
      4599,08/25/2025,17:45:00,         70,         58,         50,         50,       4671,       2271,         70,        588,         70,         67,         28,         39,         71,         67,         29,         39
      4600,08/25/2025,18:00:00,         70,         58,         50,         50,       4674,       2281,         70,        587,         70,         68,         28,         39,         71,         67,         29,         39
      4601,08/25/2025,18:15:00,         70,         58,         51,         50,       4678,       2294,         70,        591,         69,         67,         29,         42,         70,         67,         29,         42
      4602,08/25/2025,18:30:00,         69,         58,         50,         50,       4688,       2289,         69,        591,         68,         67,         30,         41,         71,         67,         30,         41
      4603,08/25/2025,18:45:00,         70,         58,         50,         50,       4691,       2306,         70,        589,         69,         67,         29,         43,         71,         67,         29,         43
      4604,08/25/2025,19:00:00,         70,         56,         50,         50,       4703,       2295,         69,        587,         68,         66,         30,         44,         69,         65,         30,         45
      4605,08/25/2025,19:15:00,         68,         55,         50,         50,       4706,       2301,         69,        589,         68,         66,         31,         47,         69,         65,         32,         47
      4606,08/25/2025,19:30:00,         68,         55,         51,         50,       4702,       2319,         68,        588,         67,         65,         32,         49,         68,         65,         32,         49
      4607,08/25/2025,19:45:00,         68,         55,         50,         50,       4723,       2327,         69,        589,         68,         65,         32,         48,         69,         65,         32,         48
      4608,08/25/2025,20:00:00,         68,         55,         50,         50,       4726,       2320,         68,        588,         67,         66,         31,         46,         69,         66,         31,         46
      4609,08/25/2025,20:15:00,         69,         56,         49,         50,       4730,       2324,         69,        587,         68,         66,         31,         44,         70,         66,         31,         44
      4610,08/25/2025,20:30:00,         69,         56,         51,         50,       4746,       2333,         69,        586,         68,         66,         30,         43,         70,         66,         30,         43
      4611,08/25/2025,20:45:00,         69,         56,         50,         50,       4744,       2348,         69,        586,         68,         66,         30,         44,         69,         66,         30,         45
      4612,08/25/2025,21:00:00,         69,         57,         50,         50,       4744,       2329,         69,        589,         68,         67,         29,         43,         70,         66,         30,         43
      4613,08/25/2025,21:15:00,         69,         57,         50,         50,       4743,       2352,         69,        590,         68,         66,         30,         44,         70,         66,         30,         44
      4614,08/25/2025,21:30:00,         69,         57,         50,         50,       4742,       2347,         69,        591,         68,         67,         29,         43,         69,         67,         30,         43
      4615,08/25/2025,21:45:00,         70,         58,         51,         51,       4756,       2344,         70,        591,         68,         67,         28,         40,         70,         67,         29,         40
      4616,08/25/2025,22:00:00,         70,         59,         50,         50,       4776,       2367,         70,        590,         69,         68,         27,         37,         70,         68,         28,         37
      4617,08/25/2025,22:15:00,         70,         60,         50,         50,       4767,       2358,         71,        593,         70,         69,         26,         33,         71,         69,         26,         33
      4618,08/25/2025,22:30:00,         71,         60,         50,         50,       4729,       2372,         70,        592,         70,         69,         26,         34,         72,         69,         27,         34
      4619,08/25/2025,22:45:00,         71,         60,         50,         50,       4763,       2366,         71,        584,         70,         69,         27,         34,         71,         68,         27,         34
      4620,08/25/2025,23:00:00,         71,         60,         50,         50,       4774,       2352,         70,        592,         70,         69,         27,         33,         71,         69,         27,         34
      4621,08/25/2025,23:15:00,         71,         60,         50,         51,       4782,       2378,         71,        595,         70,         69,         26,         33,         72,         69,         26,         34
      4622,08/25/2025,23:30:00,         71,         60,         50,         50,       4785,       2372,         71,        567,         70,         69,         26,         34,         71,         69,         27,         35
      4623,08/25/2025,23:45:00,         71,         59,         50,         50,       4790,       2379,         70,        593,         70,         68,         26,         35,         71,         69,         27,         35
      4624,08/26/2025,00:00:00,         71,         60,         50,         49,       4780,       2399,         71,        592,         70,         68,         27,         34,         70,         68,         27,         34
      4625,08/26/2025,00:15:00,         70,         59,         49,         50,       4791,       2365,         71,        593,         69,         69,         27,         35,         71,         68,         27,         35
      4626,08/26/2025,00:30:00,         71,         59,         50,         50,       4785,       2378,         70,        591,         69,         69,         27,         36,         71,         68,         27,         36
