Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;DP_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
1;02-12-25;11:12:08;70;58;50;50;0;69;71;72;62;30;51;73;62;30;51
2;02-12-25;11:15:00;70;58;50;50;0;68;71;71;63;30;51;74;62;31;51
3;02-12-25;11:30:00;69;58;50;49;0;68;71;71;63;30;51;73;62;30;51
4;02-12-25;11:45:00;70;58;50;50;0;69;71;71;63;30;51;72;62;31;51
5;02-12-25;12:00:00;70;58;50;50;0;68;71;72;63;30;51;73;62;30;51
6;02-12-25;12:15:00;67;57;50;50;0;66;69;68;62;30;51;69;61;31;51
7;02-12-25;12:30:00;70;58;49;50;0;71;72;74;64;30;50;76;63;30;51
8;02-12-25;12:45:00;71;58;50;49;0;70;73;74;63;30;51;75;63;31;51
9;02-12-25;13:00:00;72;58;50;50;0;71;74;74;63;30;51;76;63;31;51
10;02-12-25;13:15:00;72;58;50;50;0;71;73;75;64;30;51;76;63;30;51
11;02-12-25;13:30:00;72;58;50;50;0;71;73;74;63;30;51;77;64;31;51
12;02-12-25;13:45:00;72;58;50;50;0;70;73;74;63;30;51;76;63;30;51
13;02-12-25;14:00:00;72;58;50;51;0;71;73;74;63;29;51;77;64;31;51
14;02-12-25;14:15:00;73;58;50;48;0;73;74;74;63;30;51;76;64;31;51
15;02-12-25;14:30:00;73;58;50;50;0;72;74;74;64;30;51;75;63;30;51
16;02-12-25;14:45:00;72;58;51;50;0;71;74;74;65;30;50;77;64;30;51
17;02-12-25;15:00:00;65;59;50;50;0;64;66;65;62;30;51;66;61;31;51
18;02-12-25;15:15:00;73;59;50;50;0;72;75;74;65;31;51;77;65;31;51
19;02-12-25;15:30:00;73;59;49;50;0;71;74;73;65;30;51;75;65;30;51
20;02-12-25;15:45:00;66;60;50;51;0;65;67;65;62;30;51;66;61;31;51
21;02-12-25;16:00:00;66;58;50;50;0;65;67;66;63;30;51;70;63;31;51
