,Tc_RU,Tf_RU,Hz1_RU,Hz2_RU,Pc_RU,Pf_RU,Tc_HX1_RU,Tc_HX2_RU,Tc_HX1_CIN,Tf_HX1_CIN,Q_HX1_CIN,Hz_HX1_CIN,Tc_HX2_CIN,Tf_HX2_CIN,Q_HX2_CIN,Hz_HX2_CIN,DP_RU
2025-03-09 10:30:00,79,63,48,48,4140.0,2565.0,79,584,80,73,24,24,82,73,25,24,
2025-03-09 10:45:00,80,63,48,48,4144.0,2571.0,80,583,81,72,24,21,82,73,24,21,
2025-03-09 11:00:00,80,62,47,48,4141.0,2596.0,81,583,81,74,24,18,82,74,23,18,
2025-03-09 11:15:00,81,63,46,47,4142.0,2459.0,80,582,81,74,23,18,82,73,24,18,
2025-03-09 11:30:00,81,63,48,48,4147.0,2481.0,81,587,81,74,23,19,83,74,24,18,
2025-03-09 11:45:00,81,63,48,48,4136.0,2481.0,80,585,81,74,22,17,83,74,23,17,
2025-03-09 12:00:00,81,62,47,47,4142.0,2480.0,81,587,82,74,23,17,83,74,23,17,
2025-03-09 12:15:00,81,62,48,48,4149.0,2475.0,81,587,81,74,23,18,83,74,24,18,
2025-03-09 12:30:00,81,62,48,49,4138.0,2510.0,80,586,82,73,23,20,83,73,24,20,
2025-03-09 12:45:00,81,62,48,49,4154.0,2542.0,81,588,81,73,24,20,83,73,24,20,
2025-03-09 13:00:00,81,62,48,48,4138.0,2554.0,81,585,82,74,23,19,83,74,24,19,
2025-03-09 13:15:00,81,63,48,47,4140.0,2554.0,81,582,83,75,22,15,84,75,23,15,
2025-03-09 13:30:00,82,63,47,47,4147.0,2562.0,81,580,82,74,22,15,84,74,23,15,
2025-03-09 13:45:00,82,64,46,46,4139.0,2562.0,82,586,82,76,22,15,84,75,23,14,
2025-03-09 14:00:00,82,65,46,46,4144.0,2570.0,82,587,83,75,22,13,84,75,22,13,
2025-03-09 14:15:00,82,64,45,46,4139.0,2567.0,82,588,83,75,22,13,84,75,23,13,
2025-03-09 14:30:00,82,65,46,45,4143.0,2570.0,82,591,82,75,22,11,84,75,22,11,
2025-03-09 14:45:00,82,65,46,45,4137.0,2595.0,82,585,82,75,22,12,84,75,22,12,
2025-03-09 15:00:00,82,64,46,47,4148.0,2566.0,82,591,82,75,22,13,84,74,22,13,
2025-03-09 15:15:00,82,64,46,47,4149.0,2572.0,82,584,83,75,22,13,83,75,23,13,
2025-03-09 15:30:00,82,64,46,46,4144.0,2465.0,82,586,83,74,22,14,84,75,23,14,
2025-03-09 15:45:00,82,64,45,45,4137.0,2493.0,82,588,82,75,22,13,84,74,23,13,
2025-03-09 16:00:00,82,64,47,46,4145.0,2491.0,82,589,82,75,22,14,84,75,23,14,
2025-03-09 16:15:00,82,64,45,46,4144.0,2511.0,81,586,82,75,22,13,84,75,23,13,
2025-03-09 16:30:00,82,65,46,46,4140.0,2481.0,82,585,82,75,22,12,84,75,23,13,
2025-03-09 16:45:00,82,65,46,46,4142.0,2498.0,82,591,83,75,22,14,84,75,23,14,
2025-03-09 17:00:00,81,65,45,45,4157.0,2502.0,81,585,82,75,23,14,83,75,23,14,
2025-03-09 17:15:00,81,65,45,46,4135.0,2467.0,80,585,81,74,22,16,83,74,23,16,
2025-03-09 17:30:00,81,65,46,46,4116.0,2460.0,80,588,81,74,22,15,83,74,23,16,
2025-03-09 17:45:00,81,64,46,45,4141.0,2470.0,80,584,81,75,22,16,83,74,23,16,
2025-03-09 18:00:00,81,64,46,46,4142.0,2454.0,81,586,82,75,22,16,83,74,23,16,
2025-03-09 18:15:00,81,64,46,47,4144.0,2431.0,81,583,82,74,22,16,83,75,23,16,
2025-03-09 18:30:00,81,63,47,47,4137.0,2425.0,81,589,82,73,23,22,83,73,23,22,
2025-03-09 18:45:00,79,61,49,49,4147.0,2396.0,79,584,80,72,24,23,82,72,24,23,
2025-03-09 19:00:00,79,62,48,49,4139.0,2421.0,79,579,80,73,23,22,82,72,24,22,
2025-03-09 19:15:00,80,62,48,48,4141.0,2408.0,80,589,81,73,23,20,82,73,24,20,
2025-03-09 19:30:00,80,63,47,48,4142.0,2425.0,80,588,80,74,23,18,83,74,24,18,
2025-03-09 19:45:00,80,63,47,47,4139.0,2402.0,80,579,80,73,23,19,82,74,24,19,
2025-03-09 20:00:00,80,63,47,47,4144.0,2401.0,80,588,80,74,23,18,82,73,24,19,
2025-03-09 20:15:00,80,62,48,47,4142.0,2390.0,80,589,80,73,23,20,82,73,24,20,
2025-03-09 20:30:00,80,62,49,48,4141.0,2389.0,80,577,80,73,23,22,82,73,24,22,
2025-03-09 20:45:00,80,62,48,48,4141.0,2397.0,80,583,80,73,24,21,81,73,24,21,
2025-03-09 21:00:00,79,63,48,48,4141.0,2409.0,79,586,79,73,23,20,81,73,24,21,
2025-03-09 21:15:00,80,63,48,48,4135.0,2411.0,80,568,81,73,23,19,83,73,24,19,
2025-03-09 21:30:00,80,62,48,48,4139.0,2359.0,79,586,80,73,23,20,82,73,24,20,
2025-03-09 21:45:00,79,62,48,48,4143.0,2363.0,79,588,80,73,23,22,82,73,24,22,
2025-03-09 22:00:00,79,62,49,49,4146.0,2342.0,79,585,79,72,23,22,81,73,24,22,
2025-03-09 22:15:00,79,62,49,47,4143.0,2361.0,79,578,78,72,24,21,81,72,25,21,
2025-03-09 22:30:00,79,62,48,47,4141.0,2364.0,79,562,80,73,23,20,81,73,24,20,
2025-03-09 22:45:00,79,62,48,47,4142.0,2341.0,79,569,80,73,23,19,81,73,24,19,
2025-03-09 23:00:00,79,62,48,48,4142.0,2340.0,79,576,80,73,23,19,81,73,25,19,
2025-03-09 23:15:00,79,62,48,49,4143.0,2356.0,78,591,79,73,24,23,81,73,24,23,
2025-03-09 23:30:00,79,62,49,49,4145.0,2314.0,79,583,78,73,24,23,81,72,24,23,
2025-03-09 23:45:00,78,62,49,49,4143.0,2383.0,78,579,78,72,24,22,80,72,25,22,
2025-03-10 00:00:00,78,61,49,49,4139.0,2438.0,78,586,78,73,24,24,80,72,25,24,
2025-03-10 00:15:00,79,62,49,49,4144.0,2408.0,79,585,79,73,23,22,81,72,24,22,
2025-03-10 00:30:00,79,62,48,48,4139.0,2430.0,79,574,80,73,23,21,81,73,24,21,
2025-03-10 00:45:00,78,62,48,49,4149.0,2435.0,78,577,79,72,23,24,80,72,24,24,
2025-03-10 01:00:00,78,61,49,50,4137.0,2414.0,78,584,79,72,25,25,80,72,25,25,
2025-03-10 01:15:00,79,62,49,48,4144.0,2415.0,78,562,79,73,24,22,81,73,25,22,
2025-03-10 01:30:00,77,61,49,49,4140.0,2410.0,78,586,77,72,25,27,79,71,25,27,
2025-03-10 01:45:00,77,62,50,49,4140.0,2416.0,77,585,77,72,25,27,79,72,25,27,
2025-03-10 02:00:00,78,61,49,49,4146.0,2389.0,78,579,79,72,24,27,80,72,25,27,
2025-03-10 02:15:00,77,61,48,49,4143.0,2413.0,77,580,78,71,25,29,80,71,26,29,
2025-03-10 02:30:00,76,61,49,49,4147.0,2401.0,76,578,76,71,25,30,78,71,26,30,
2025-03-10 02:45:00,77,61,48,48,4142.0,2396.0,77,576,77,71,26,30,79,70,25,30,
2025-03-10 03:00:00,77,61,49,49,4141.0,2389.0,76,584,77,71,26,30,79,71,26,30,
2025-03-10 03:15:00,78,61,50,49,4136.0,2384.0,78,581,78,72,25,27,80,72,25,27,
